# layer,row,col,filter,float_value,q1.6_int,q1.6_hex
layer_0_filter_0,16,13,0,0.149528,10,0x0A
layer_0_filter_0,16,14,0,0.154182,10,0x0A
layer_0_filter_0,16,15,0,0.158836,10,0x0A
layer_0_filter_0,16,16,0,0.163490,10,0x0A
layer_0_filter_0,16,17,0,0.168144,11,0x0B
layer_0_filter_0,16,18,0,0.172798,11,0x0B
layer_0_filter_0,16,19,0,0.177452,11,0x0B
layer_0_filter_0,16,20,0,0.182105,12,0x0C
layer_0_filter_0,16,21,0,0.186759,12,0x0C
layer_0_filter_0,16,22,0,0.191413,12,0x0C
layer_0_filter_0,16,23,0,0.196067,13,0x0D
layer_0_filter_0,16,24,0,0.200721,13,0x0D
layer_0_filter_0,16,25,0,0.205375,13,0x0D
layer_0_filter_0,17,0,0,0.093681,6,0x06
layer_0_filter_0,17,1,0,0.098335,6,0x06
layer_0_filter_0,17,2,0,0.102989,7,0x07
layer_0_filter_0,17,3,0,0.107643,7,0x07
layer_0_filter_0,17,4,0,0.112297,7,0x07
layer_0_filter_0,17,5,0,0.116951,7,0x07
layer_0_filter_0,17,6,0,0.121605,8,0x08
layer_0_filter_0,17,7,0,0.126259,8,0x08
layer_0_filter_0,17,8,0,0.130912,8,0x08
layer_0_filter_0,17,9,0,0.135566,9,0x09
layer_0_filter_0,17,10,0,0.140220,9,0x09
layer_0_filter_0,17,11,0,0.144874,9,0x09
layer_0_filter_0,17,12,0,0.149528,10,0x0A
layer_0_filter_0,17,13,0,0.154182,10,0x0A
layer_0_filter_0,17,14,0,0.158836,10,0x0A
layer_0_filter_0,17,15,0,0.163490,10,0x0A
layer_0_filter_0,17,16,0,0.168144,11,0x0B
layer_0_filter_0,17,17,0,0.172798,11,0x0B
layer_0_filter_0,17,18,0,0.177452,11,0x0B
layer_0_filter_0,17,19,0,0.182105,12,0x0C
layer_0_filter_0,17,20,0,0.186759,12,0x0C
layer_0_filter_0,17,21,0,0.191413,12,0x0C
layer_0_filter_0,17,22,0,0.196067,13,0x0D
layer_0_filter_0,17,23,0,0.200721,13,0x0D
layer_0_filter_0,17,24,0,0.205375,13,0x0D
layer_0_filter_0,17,25,0,0.210029,13,0x0D
layer_0_filter_0,18,0,0,0.098335,6,0x06
layer_0_filter_0,18,1,0,0.102989,7,0x07
layer_0_filter_0,18,2,0,0.107643,7,0x07
layer_0_filter_0,18,3,0,0.112297,7,0x07
layer_0_filter_0,18,4,0,0.116951,7,0x07
layer_0_filter_0,18,5,0,0.121605,8,0x08
layer_0_filter_0,18,6,0,0.126259,8,0x08
layer_0_filter_0,18,7,0,0.130912,8,0x08
layer_0_filter_0,18,8,0,0.135566,9,0x09
layer_0_filter_0,18,9,0,0.140220,9,0x09
layer_0_filter_0,18,10,0,0.144874,9,0x09
layer_0_filter_0,18,11,0,0.149528,10,0x0A
